Fire,Start Date,Current Size,Containment,Longitude,Latitude,Note
Cherry Fire,June 26,34252,93%,-112.360283,39.852017,"Cherry and Iron Fires have joined and <br>burned a total of 76,094 acres"
Wild Goose Fire,June 26,11904,44%,-112.175405,39.111408,Forced closure of Fishlake National Forest 
Cottonwood Fire,June 22,94423,23%,-112.547522,38.263828,Currently the nation's largest wildfire <br>and 6th largest on record for Utah
Babylon Fire,June 26,85370,0%,-109.802738,37.739108,Extreme fire behavior and rugged terrain <br>have kept containment at zero
Snyder Fire,June 27,30193,65%,-109.068715,39.005679,3 wildland firefighters perished in the <br>wildfire and 2 more were severely injured
Ferris Fire,June 27,30706,10%,-108.671229,37.629486,Terrain and alignment with winds have limited <br>the initial spread of this fire
Gold Mountain Fire,June 27,21788,0%,-107.680953,38.051341,Fire has forced closures of popular <br>wildlife and recreation areas
Willow Fire,June 28,2541,0%,-106.446167,39.241167,"Fire is just west of Colorado's highest <br>elevation city, Leadville"
Aspen Acres Fire,June 29,73367,0%,-105.185573,37.658369,Currently stands as Colorado's 8th largest <br>wildfire in history with no containment
